Caso;s1;s2;Tiempo (microsegundos);Respuesta
10;ap;eg;0;4
10;ap;eg;0;4
10;ap;eg;0;4
11;yff;xrk;4;6
11;yff;xrk;4;6
11;yff;xrk;4;6
11;yff;xrk;4;6
11;yff;xrk;4;6
11;yff;xrk;4;6
11;yff;xrk;4;6
11;yff;xrk;4;6
11;yff;xrk;4;6
11;yff;xrk;4;6
12;tid;oit;2;3
12;tid;oit;2;3
12;tid;oit;2;3
12;tid;oit;2;3
12;tid;oit;2;3
12;tid;oit;2;3
12;tid;oit;1;3
12;tid;oit;2;3
12;tid;oit;1;3
12;tid;oit;1;3
13;xrv;fry;2;4
13;xrv;fry;2;4
13;xrv;fry;2;4
13;xrv;fry;2;4
13;xrv;fry;2;4
13;xrv;fry;2;4
13;xrv;fry;2;4
13;xrv;fry;2;4
13;xrv;fry;2;4
13;xrv;fry;2;4
14;aic;jye;4;6
14;aic;jye;4;6
14;aic;jye;4;6
14;aic;jye;4;6
14;aic;jye;4;6
14;aic;jye;4;6
14;aic;jye;4;6
14;aic;jye;4;6
14;aic;jye;4;6
14;aic;jye;4;6
15;plk;yvc;4;6
15;plk;yvc;4;6
15;plk;yvc;4;6
15;plk;yvc;4;6
15;plk;yvc;4;6
15;plk;yvc;4;6
15;plk;yvc;4;6
15;plk;yvc;4;6
15;plk;yvc;4;6
15;plk;yvc;4;6
16;ejn;jdb;3;4
16;ejn;jdb;3;4
16;ejn;jdb;3;4
16;ejn;jdb;3;4
16;ejn;jdb;3;4
16;ejn;jdb;3;4
16;ejn;jdb;3;4
16;ejn;jdb;3;4
16;ejn;jdb;3;4
16;ejn;jdb;3;4
17;zho;vrf;4;6
17;zho;vrf;4;6
17;zho;vrf;4;6
17;zho;vrf;4;6
17;zho;vrf;4;6
17;zho;vrf;4;6
17;zho;vrf;4;6
17;zho;vrf;4;6
17;zho;vrf;4;6
17;zho;vrf;4;6
18;yeu;csl;4;6
18;yeu;csl;4;6
18;yeu;csl;4;6
18;yeu;csl;4;6
18;yeu;csl;4;6
18;yeu;csl;4;6
18;yeu;csl;4;6
18;yeu;csl;4;6
18;yeu;csl;4;6
18;yeu;csl;4;6
19;wil;xmn;4;6
19;wil;xmn;4;6
19;wil;xmn;4;6
19;wil;xmn;4;6
19;wil;xmn;4;6
19;wil;xmn;4;6
19;wil;xmn;4;6
19;wil;xmn;4;6
19;wil;xmn;4;6
